,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
2951,49.0,174.26,66822117.0,134277883.0
2952,114.0,342.98,53733416.0,21407236.0
2953,260.0,1444.0,271410604.0,397944750.0
2954,216.0,1094.0,433734306.0,755670095.0
2955,154.0,377.8,150296431.0,207613397.0
2956,256.0,1719.14,575376008.0,946271367.0
2957,552.0,3498.82,1123786484.0,1168143751.0
2958,106.0,922.2,147952850.0,318591503.0
2959,279.0,2047.48,462620099.0,577218921.0
2960,15.0,35.19,1098364.0,9201435.0
2961,58.0,158.85,130010596.0,206919215.0
2962,108.0,169.53,72914148.0,1277350.0
2963,167.0,739.59,183269221.0,267073362.0
2964,174.0,905.33,335183325.0,660863380.0
2965,536.0,2637.75,993201828.0,1130129029.0
2966,282.0,2400.8,884383847.0,1240980001.0
2967,100.0,832.46,166147402.0,385591655.0
2968,148.0,863.51,928363179.0,681729352.0
2969,134.0,706.2,432360373.0,371635543.0
2970,162.0,354.0,260345983.0,378474196.0
2971,128.0,1105.7,402497534.0,540825123.0
2972,40.0,167.69,45784921.0,158503291.0
2973,168.0,804.82,529519738.0,429679946.0
2974,44.0,308.38,44086745.0,130101109.0
2975,59.0,479.14,281073222.0,457516350.0
2977,47.0,107.11,46138369.0,140793858.0
2978,152.0,794.8,366921000.0,320032995.0
2979,15.0,179.14,100262171.0,68619936.0
2980,14.0,87.59,30703408.0,46949973.0
2981,44.0,201.2,41325320.0,100547657.0
