code,count,mean,std,min,25%,50%,75%,max
2465-3,91.0,745.2087912087912,373.7880717579449,182.0,474.0,765.0,998.0,2010.0
2466-1,2.0,170.81,232.1997248060385,6.62,88.715,170.81,252.905,335.0
2467-9,2.0,76.845,106.28522028014996,1.69,39.2675,76.845,114.4225,152.0
24677-7,1.0,14442053.0,,14442053.0,14442053.0,14442053.0,14442053.0,14442053.0
2468-7,2.0,9.26,12.360226535140852,0.52,4.890000000000001,9.26,13.629999999999999,18.0
2469-5,2.0,4.605,6.215468606629753,0.21,2.4074999999999998,4.605,6.8025,9.0
2472-9,79.0,469.0379746835443,825.470672933187,13.0,30.0,65.0,121.0,2320.0
24726-2,1.0,14948033.0,,14948033.0,14948033.0,14948033.0,14948033.0,14948033.0
2483-6,3.0,6.333333333333333,1.069267662156363,5.1,6.0,6.9,6.95,7.0
2484-4,5.0,223.8,218.38314953310845,42.0,48.0,148.0,324.0,557.0
24869-0,2.0,14652971.5,101422.44694593007,14581255.0,14617113.25,14652971.5,14688829.75,14724688.0
24972-2,1.0,14520552.0,,14520552.0,14520552.0,14520552.0,14520552.0,14520552.0
2498-4,153.0,65.09803921568627,38.518581419246004,9.0,37.0,59.0,81.0,219.0
2500-7,142.0,290.7535211267606,83.08648716377328,79.0,237.25,298.0,347.75,531.0
2501-5,7.0,195.42857142857142,84.0155881227945,93.0,129.5,198.0,249.0,320.0
2502-3,74.0,22.40810810810811,11.189595910741675,6.0,14.0,20.0,29.0,66.0
25083-7,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
25088-6,2.0,29.5,27.577164466275352,10.0,19.75,29.5,39.25,49.0
25089-4,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
25099-3,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
25112-4,1.0,22.0,,22.0,22.0,22.0,22.0,22.0
25116-5,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2513-0,0.0,,,,,,,
25132-2,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
25135-5,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
25136-3,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
2514-8,0.0,,,,,,,
25145-4,0.0,,,,,,,
25162-9,0.0,,,,,,,
2524-7,309.0,2.5517799352750807,2.2182767391996028,0.6,1.2,1.7,3.0,17.4
25296-5,1.0,0.46,,0.46,0.46,0.46,0.46,0.46
2532-0,140.0,313.74285714285713,310.58851937230185,74.0,206.5,272.0,311.25,2580.0
25418-5,4.0,73.25,38.864250925497075,30.7,58.825,68.65,83.07499999999999,125.0
25428-4,0.0,,,,,,,
25684-2,1.0,433.1,,433.1,433.1,433.1,433.1,433.1
2571-8,749.0,121.85981308411215,77.92345311877754,21.0,73.0,105.0,147.0,1019.0
25788-1,2.0,218.0,165.46298679765212,101.0,159.5,218.0,276.5,335.0
25987-9,4.0,5.0875,1.9439714504076442,2.64,3.9675000000000002,5.505,6.625,6.7
26028-1,0.0,,,,,,,
26043-0,0.0,,,,,,,
2614-6,3.0,0.9,0.36055512754639896,0.6,0.7,0.8,1.05,1.3
26175-0,6.0,14359297.333333334,145838.2939541829,14180780.0,14255216.0,14360752.0,14429950.5,14580446.0
26214-7,6.0,14650111.0,301581.20150168514,14239866.0,14441180.75,14671130.0,14867958.5,15020441.0
26215-4,3.0,14664111.0,131018.46544666901,14583683.0,14588519.0,14593355.0,14704325.0,14815295.0
26216-2,2.0,14701878.0,183409.3569041667,14572188.0,14637033.0,14701878.0,14766723.0,14831568.0
26293-1,1.0,14489647.0,,14489647.0,14489647.0,14489647.0,14489647.0,14489647.0
26347-5,4.0,14613034.25,44269.46726864917,14584640.0,14591558.75,14594202.5,14615678.0,14679092.0
26348-3,1.0,14686344.0,,14686344.0,14686344.0,14686344.0,14686344.0,14686344.0
2638-5,1.0,3.41,,3.41,3.41,3.41,3.41,3.41
2641-9,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
26444-0,344.0,0.04081395348837209,0.08911898053181433,0.0,0.0,0.0,0.04,0.57
26446-5,24.0,22.07916666666667,8.42016106252372,8.0,17.375,22.0,27.549999999999997,37.0
26449-9,397.0,3.625264483627204,31.095884609373435,0.0,0.0,0.09,0.23,370.0
26450-7,411.0,1.9189781021897812,2.3492354598593943,0.0,0.0,1.0,3.0,19.0
26453-1,116.0,4.364827586206896,0.8548027819924015,1.75,3.8825000000000003,4.545,5.0024999999999995,5.91
26455-6,47.0,2.5232978723404256,11.281177370552461,0.001,0.0265,0.1,0.375,76.0
26464-8,45.0,9.627555555555556,4.1997944514396695,4.69,6.14,9.13,11.09,24.77
26474-7,473.0,24.174122621564482,207.3439045518098,0.0,0.58,1.22,2.54,2376.0
